CGI_ID,SPID,evalue,Description,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Column7
CGI_10012276,Q4GZT3,1E-43,Polycystin-2,,,,,,,
CGI_10012277,P51156,5E-100,Ras-related protein Rab-26,,,,,,,
CGI_10012278,Q9VP48,2E-11,Ras-related protein Rab-26,,,,,,,
CGI_10012279,Q63931,5E-19,Cholecystokinin receptor type A,,,,,,,
CGI_10012280,P57756,9E-50,Ficolin-2,,,,,,,
CGI_10012282,O16797,1E-36,60S ribosomal protein L3,,,,,,,
CGI_10012284,P82596,2E-24,Perlucin,,,,,,,
CGI_10012285,A0JM12,2E-08,Multiple epidermal growth factor-like domains protein 10,,,,,,,
CGI_10012286,Q5XG92,1E-61,Carboxylesterase 4A,,,,,,,
CGI_10012288,Q9NYM4,9E-70,Probable G-protein coupled receptor 83,,,,,,,
CGI_10012289,Q0PMG2,5E-28,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,,,,,,,
CGI_10012290,Q4R4C7,1E-59,Zinc finger protein 14,,,,,,,
CGI_10012291,P56377,4E-88,AP-1 complex subunit sigma-2,,,,,,,
CGI_10012292,Q6GM59,1E-24,Monocarboxylate transporter 12,,,,,,,
CGI_10012293,Q90XD2,5E-156,"Agmatinase, mitochondrial",CGI_10012293,201.583552920241,-0.996193502960494,0.342812186323651,-2.90594542056326,0.00366145309303592,0.0248766101042965
CGI_10012296,Q9JJX8,3E-15,Serine/threonine-protein kinase 32B,,,,,,,
CGI_10012297,P91766,1E-147,Acetylcholine receptor subunit alpha-like,,,,,,,
CGI_10012298,P09478,2E-160,Acetylcholine receptor subunit alpha-like 1,,,,,,,
CGI_10012299,P91766,2E-130,Acetylcholine receptor subunit alpha-like,CGI_10012299,54.2685737177472,1.07963519418223,0.352601685397421,3.06191160988174,0.00219928385366378,0.0170640227804496
CGI_10012300,P91766,6E-145,Acetylcholine receptor subunit alpha-like,,,,,,,
CGI_10012301,P04755,7E-104,Acetylcholine receptor subunit beta-like 1,,,,,,,
CGI_10012302,P04755,2E-93,Acetylcholine receptor subunit beta-like 1,,,,,,,
CGI_10012303,P04755,9E-143,Acetylcholine receptor subunit beta-like 1,,,,,,,
CGI_10012304,P48180,4E-116,Acetylcholine receptor subunit alpha-type acr-16,,,,,,,
CGI_10012306,P11678,7E-28,Eosinophil peroxidase,CGI_10012306,58.6293436733849,3.08159701122461,0.406505243015196,7.58070668010896,3.43677799700017E-14,8.90775702465721E-12
CGI_10012307,A8WQH2,1E-59,Peroxidasin homolog,CGI_10012307,322.180621630776,1.65750608176606,0.443824441587502,3.73459847284971,0.000188014915544481,0.00266725301785735
CGI_10012308,P11678,3E-100,Eosinophil peroxidase,,,,,,,
CGI_10012309,O75095,5E-22,Multiple epidermal growth factor-like domains protein 6,,,,,,,
CGI_10012310,Q9R0T8,1E-93,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,,,,,,,
CGI_10012312,Q6ZRF8,9E-14,RING finger protein 207,CGI_10012312,39.6369084021129,-1.16137202589127,0.404505808137854,-2.87108862846162,0.00409060817613262,0.0269707338666977
CGI_10012313,Q9R0T8,1E-94,Inhibitor of nuclear factor kappa-B kinase subunit epsilon,,,,,,,
CGI_10012314,Q61124,3E-14,Battenin,,,,,,,
CGI_10012316,D2GXS7,4E-14,Tripartite motif-containing protein 2,,,,,,,
CGI_10012317,Q61124,2E-54,Battenin,,,,,,,
CGI_10012318,Q9NUV9,2E-22,GTPase IMAP family member 4,,,,,,,
CGI_10012321,Q6UW01,1E-12,Cerebellin-3,,,,,,,
CGI_10012323,Q557E7,7E-12,E3 ubiquitin-protein ligase cblA,,,,,,,
CGI_10012324,Q24307,4E-13,Apoptosis 2 inhibitor,,,,,,,
CGI_10012325,Q9Y3D5,3E-10,"28S ribosomal protein S18c, mitochondrial",,,,,,,
CGI_10012326,Q5TEA3,4E-75,.,CGI_10012326,35.2073793895472,1.49741557518091,0.39347280410364,3.80563932135571,0.000141438370309819,0.00212268227115989
CGI_10012328,Q5TEA3,1E-114,.,,,,,,,
CGI_10012329,Q9DE46,0,DNA polymerase alpha catalytic subunit,,,,,,,
CGI_10012330,P68371,0,Tubulin beta-4B chain,,,,,,,
CGI_10012331,Q9VY86,9E-60,TM2 domain-containing protein CG11103,,,,,,,
CGI_10012332,Q4VBI7,8E-62,Syntaxin-18,,,,,,,
CGI_10012333,P61162,0,Alpha-centractin,,,,,,,
CGI_10012334,O75382,1E-07,Tripartite motif-containing protein 3,,,,,,,
CGI_10012338,Q8NDZ4,3E-81,UPF0672 protein C3orf58,,,,,,,
CGI_10012339,Q32TF8,0,EF-hand domain-containing family member C2,,,,,,,
CGI_10012340,Q5XIH9,2E-49,4-hydroxyphenylpyruvate dioxygenase-like protein,,,,,,,
CGI_10012341,Q95116,3E-17,Thrombospondin-2,,,,,,,
CGI_10012342,Q90632,5E-28,Monocarboxylate transporter 3,,,,,,,
CGI_10012343,O15266,4E-52,Short stature homeobox protein,,,,,,,
CGI_10012345,Q9Y238,0,Deleted in lung and esophageal cancer protein 1,,,,,,,
CGI_10012348,A2AJ76,8E-96,Hemicentin-2,CGI_10012348,2704.97008741341,1.37310850048177,0.358643124135904,3.82862073207194,0.000128863412359951,0.00197569963953946
CGI_10012350,C7G0B5,5E-08,PIF,,,,,,,
CGI_10012351,P20918,1E-40,Plasminogen,,,,,,,
CGI_10012352,C7G0B5,1E-12,PIF,CGI_10012352,5178.16798921347,1.33831964891271,0.47714474042069,2.80485046892216,0.00503399273868499,0.031770970953596
CGI_10012353,C7G0B5,1E-09,PIF,,,,,,,
CGI_10012354,Q96JL9,5E-34,Zinc finger protein 333,,,,,,,
CGI_10012356,P43406,8E-85,Integrin alpha-V,,,,,,,
CGI_10012360,Q460N3,3E-37,Poly [ADP-ribose] polymerase 15,,,,,,,
CGI_10012364,Q09662,1E-08,.,,,,,,,
CGI_10012365,P00727,0,Cytosol aminopeptidase,,,,,,,
CGI_10012366,Q5RD78,0,Probable E3 ubiquitin-protein ligase HECTD2,,,,,,,
CGI_10012368,Q9NL83,5E-09,Orcokinin peptides type A,CGI_10012368,149.358198035205,1.14554890606259,0.400915813123905,2.85733031365503,0.00427220993456861,0.0279566654878969
CGI_10012370,P53356,1E-174,Tyrosine-protein kinase HTK16,,,,,,,
CGI_10012371,Q9WTZ1,2E-60,RING-box protein 2,,,,,,,
CGI_10012372,Q6WV66,3E-44,Histone H2A,,,,,,,
CGI_10012373,Q14186,1E-104,Transcription factor Dp-1,,,,,,,
CGI_10012374,Q6TLE4,3E-29,Membrane magnesium transporter 1,,,,,,,
CGI_10012375,Q5ZJU0,1E-19,Monocarboxylate transporter 9,,,,,,,
CGI_10012376,P21575,6E-81,Dynamin-1,,,,,,,
CGI_10012377,Q5HZL9,3E-38,Haloacid dehalogenase-like hydrolase domain-containing protein 3,,,,,,,
CGI_10012378,Q7Z7A1,2E-136,Centriolin,,,,,,,
CGI_10012379,A2AX52,8E-26,Collagen alpha-4(VI) chain,,,,,,,
CGI_10012380,Q08D64,0,"ATP-binding cassette sub-family B member 6, mitochondrial",,,,,,,
CGI_10012381,Q28153,3E-40,Chymotrypsin-like elastase family member 1,,,,,,,
CGI_10012383,Q5R7T5,7E-142,E3 ubiquitin-protein ligase NRDP1,,,,,,,
CGI_10012385,P70555,3E-17,Parathyroid hormone 2 receptor,CGI_10012385,21.0802481162449,-2.0837695296189,0.497829742850981,-4.18570718110479,2.84279634316635E-05,0.000594600151166092
CGI_10012386,P17972,1E-36,Potassium voltage-gated channel protein Shaw,,,,,,,
CGI_10012387,Q3ZBG9,6E-58,Phospholipid scramblase 2,,,,,,,
CGI_10012388,Q9WVF7,0,DNA polymerase epsilon catalytic subunit A,,,,,,,
CGI_10012389,Q07864,0,DNA polymerase epsilon catalytic subunit A,,,,,,,
CGI_10012390,P83565,1E-15,"39S ribosomal protein L40, mitochondrial",CGI_10012390,161.938689681891,-1.41495273756861,0.30917730053838,-4.57650912633209,4.72799092328475E-06,0.000135956320702551
CGI_10012391,A7SM54,4E-109,.,,,,,,,
CGI_10012393,O75923,1E-18,Dysferlin,,,,,,,
CGI_10012394,Q17RM4,3E-26,.,,,,,,,
CGI_10012395,Q7T2H2,5E-104,Fibroblast growth factor receptor-like 1,,,,,,,
CGI_10012398,Q0P5I5,1E-22,"Probable 4-hydroxy-2-oxoglutarate aldolase, mitochondrial",,,,,,,
CGI_10012401,Q90YG6,8E-55,Transcription initiation factor IIA subunit 2,,,,,,,
CGI_10012402,Q8IV50,3E-16,LysM and putative peptidoglycan-binding domain-containing protein 2,CGI_10012402,83.1869967795011,1.04486517295683,0.332944967208446,3.13825189104804,0.00169958752576124,0.014133150271513
CGI_10012403,O42479,4E-170,"Ferrochelatase, mitochondrial",,,,,,,
CGI_10012405,Q6A098,3E-61,.,,,,,,,
CGI_10012406,P61007,2E-120,Ras-related protein Rab-8A,CGI_10012406,234.63683610593,1.72440882332155,0.305565769427846,5.64333114455328,1.66791102739886E-08,1.17612255534964E-06
CGI_10012407,Q13636,8E-48,Ras-related protein Rab-31,,,,,,,
CGI_10012408,P80912,3E-62,Histidine triad nucleotide-binding protein 1,,,,,,,
CGI_10012409,Q5BIM1,4E-07,Tripartite motif-containing protein 45,,,,,,,
CGI_10012410,O75382,5E-07,Tripartite motif-containing protein 3,,,,,,,
CGI_10012411,O75382,1E-06,Tripartite motif-containing protein 3,,,,,,,
CGI_10012412,Q6PFY8,3E-06,Tripartite motif-containing protein 45,,,,,,,
CGI_10012413,Q681N2,7E-08,U-box domain-containing protein 15,,,,,,,
CGI_10012414,O12947,9E-88,Protein-S-isoprenylcysteine O-methyltransferase,,,,,,,
CGI_10012415,Q9WTS8,5E-30,Ficolin-1,,,,,,,
CGI_10012417,O43674,7E-15,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",,,,,,,
CGI_10012418,Q7SYJ9,6E-54,Sperm-associated antigen 7 homolog,,,,,,,
CGI_10012420,Q8TDB6,2E-54,E3 ubiquitin-protein ligase DTX3L,,,,,,,
CGI_10012423,Q502G2,2E-74,Transmembrane protein 41A-A,,,,,,,
CGI_10012426,P86854,1E-06,Perlucin-like protein,,,,,,,
CGI_10012428,P42029,4E-21,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8,CGI_10012428,427.817687323965,-0.815846017747164,0.248537353620128,-3.2825891394745,0.00102858459917499,0.00965178699225851
CGI_10012429,Q56UN5,4E-97,SPS1/STE20-related protein kinase YSK4,,,,,,,
CGI_10012431,Q8WXG6,0,MAP kinase-activating death domain protein,,,,,,,
CGI_10012432,Q99835,2E-167,Smoothened homolog,,,,,,,
CGI_10012433,Q5ZIN2,7E-50,tRNA-splicing endonuclease subunit Sen2,CGI_10012433,19.5917860731113,-1.48035106600754,0.454236487449324,-3.25898756905276,0.00111810566975514,0.0102805689098292
CGI_10012435,Q5ZLK1,0,DDB1- and CUL4-associated factor 13,,,,,,,
CGI_10012436,Q74LY0,5E-06,Demethylmenaquinone methyltransferase,CGI_10012436,309.023412704751,-1.82721934657928,0.547575222659882,-3.33692846382538,0.000847097483273337,0.00836198133256953
CGI_10012437,Q54J55,5E-09,Myb-like protein X,CGI_10012437,305.936098471647,1.50133274275419,0.292343260760954,5.13551343323702,2.81374779701822E-07,1.3259872910764E-05
CGI_10012439,Q5GFD8,3E-11,Protein IMPACT,,,,,,,
CGI_10012440,O75382,4E-10,Tripartite motif-containing protein 3,,,,,,,
CGI_10012442,Q6ZRF8,2E-10,RING finger protein 207,,,,,,,
CGI_10012443,Q9Z1L5,7E-116,Voltage-dependent calcium channel subunit alpha-2/delta-3,,,,,,,
CGI_10012444,A0AVT1,2E-113,Ubiquitin-like modifier-activating enzyme 6,,,,,,,
CGI_10012445,Q8C525,4E-08,Protein MB21D2,,,,,,,
CGI_10012446,O60858,3E-08,E3 ubiquitin-protein ligase TRIM13,,,,,,,
CGI_10012447,F7J220,2E-78,Scavenger receptor cysteine-rich domain superfamily protein,,,,,,,
CGI_10012448,P29755,5E-10,Type-1B angiotensin II receptor,,,,,,,
CGI_10012451,Q8MQJ9,1E-06,Brain tumor protein,CGI_10012451,145.299150571697,-1.29280330062556,0.262439196205546,-4.92610600595277,8.38845009121072E-07,3.31050355451485E-05
CGI_10012452,A3KMV5,0,Ubiquitin-like modifier-activating enzyme 1,,,,,,,
CGI_10012453,O70277,5E-07,Tripartite motif-containing protein 3,CGI_10012453,242.828055078519,-0.869122328040405,0.259783662986463,-3.34556191120337,0.000821160245703555,0.00815636275754307
CGI_10012454,A3KMV5,8E-37,Ubiquitin-like modifier-activating enzyme 1,,,,,,,
CGI_10012458,Q9Y5Q5,2E-60,Atrial natriuretic peptide-converting enzyme,CGI_10012458,1659.65709167254,2.09935334532124,0.530938279917219,3.95404404754647,7.68412537544947E-05,0.0013184757618882
CGI_10012461,E1B9D8,2E-89,Cytosolic carboxypeptidase 3,,,,,,,
CGI_10012463,P32251,5E-09,Alpha-2 adrenergic receptor,,,,,,,
CGI_10012466,P97275,0,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",,,,,,,
CGI_10012468,Q5RBT2,0,Aspartyl aminopeptidase,,,,,,,
CGI_10012469,Q6B860,1E-35,"28S ribosomal protein S14, mitochondrial",,,,,,,
CGI_10012472,P37805,7E-09,Transgelin-3,,,,,,,
CGI_10012473,P10351,9E-145,Xanthine dehydrogenase,,,,,,,
CGI_10012474,Q92005,0,Elongation factor 1-alpha,,,,,,,
CGI_10012475,Q66KU2,2E-24,Protein transport protein Sec61 subunit gamma,,,,,,,
CGI_10012476,Q92609,3E-167,TBC1 domain family member 5,,,,,,,
CGI_10012477,Q2TBG9,3E-33,Transmembrane protein 169,,,,,,,
CGI_10012478,O88873,1E-27,Glucocorticoid modulatory element-binding protein 2,,,,,,,
CGI_10012479,Q9V4A7,2E-14,Plexin-B,,,,,,,
CGI_10012480,Q99933,3E-29,BAG family molecular chaperone regulator 1,,,,,,,
CGI_10012481,Q99933,4E-06,BAG family molecular chaperone regulator 1,,,,,,,
CGI_10012482,Q460N5,2E-31,Poly [ADP-ribose] polymerase 14,,,,,,,
CGI_10012483,Q460N5,1E-37,Poly [ADP-ribose] polymerase 14,CGI_10012483,497.334277004822,1.27657706574611,0.274098921351516,4.65735895439359,3.20291713351681E-06,0.000100543290705159
CGI_10012484,Q97AU0,9E-07,.,,,,,,,
CGI_10012485,A5A6P2,2E-120,Acid ceramidase,,,,,,,
CGI_10012486,Q96M20,2E-19,.,,,,,,,
CGI_10012488,Q2KID6,0,Pleiotropic regulator 1,,,,,,,
CGI_10012489,Q5XI14,6E-07,Uncharacterized protein C8orf45 homolog,,,,,,,
CGI_10012490,Q9Y345,0,Sodium- and chloride-dependent glycine transporter 2,CGI_10012490,856.111251350248,1.87414958045793,0.425322598628786,4.40641900171793,1.05093581273293E-05,0.000266402785856297
CGI_10012491,Q8K0U4,1E-93,Heat shock 70 kDa protein 12A,,,,,,,
CGI_10012492,Q96MM6,3E-95,Heat shock 70 kDa protein 12B,,,,,,,
CGI_10012493,B4G437,4E-10,Spastin,,,,,,,
CGI_10012497,Q80V70,5E-23,Multiple epidermal growth factor-like domains protein 6,,,,,,,
CGI_10012498,Q08879,2E-31,Fibulin-1,,,,,,,
CGI_10012499,Q80T91,1E-26,Multiple epidermal growth factor-like domains protein 11,,,,,,,
CGI_10012501,O75787,4E-18,Renin receptor,,,,,,,
CGI_10012502,Q9ULB1,1E-138,Neurexin-1-alpha,,,,,,,
CGI_10012503,Q8VHS2,1E-06,Crumbs homolog 1,,,,,,,
CGI_10012504,Q15678,0,Tyrosine-protein phosphatase non-receptor type 14,CGI_10012504,128.773827959993,1.42140642539977,0.391327774904861,3.63226562629074,0.000280943707312936,0.00365322054661838
CGI_10012505,P35745,2E-24,Acylphosphatase-2,,,,,,,
CGI_10012508,Q9FSG7,2E-64,Thaumatin-like protein 1a,,,,,,,
CGI_10012514,Q6R5N8,3E-15,Toll-like receptor 13,,,,,,,
CGI_10012515,P82596,4E-12,Perlucin,,,,,,,
CGI_10012516,Q9XSW3,4E-09,Mannose-binding protein C,CGI_10012516,131.579676973198,-0.992609741339515,0.302066679185,-3.28606168683568,0.00101598757551805,0.00957574530635682
CGI_10012520,Q0P5X1,6E-58,Leucine-rich repeat and IQ domain-containing protein 1,,,,,,,
CGI_10012521,P14373,2E-07,Zinc finger protein RFP,,,,,,,
CGI_10012522,P42356,0,Phosphatidylinositol 4-kinase alpha,,,,,,,
CGI_10012525,Q9D2Z8,1E-46,Kinesin-like protein KIF12,,,,,,,
CGI_10012529,Q8CGB3,5E-06,Uveal autoantigen with coiled-coil domains and ankyrin repeats,,,,,,,
CGI_10012531,Q4KLN4,3E-65,Nucleoporin GLE1,,,,,,,
CGI_10012532,P0C1J1,5E-26,Peptidyl-prolyl cis-trans isomerase-like 2,,,,,,,
CGI_10012534,Q7YW31,1E-84,Cephalotocin receptor 1,CGI_10012534,28.5712858763015,-1.13742779274749,0.433878639158777,-2.62153443403618,0.00875349189946432,0.0474405127526775
CGI_10012536,A0JM12,3E-26,Multiple epidermal growth factor-like domains protein 10,,,,,,,
CGI_10012537,O88281,3E-06,Multiple epidermal growth factor-like domains protein 6,,,,,,,
CGI_10012538,P70031,2E-07,Cholecystokinin receptor,,,,,,,
CGI_10012539,P32019,7E-157,"Type II inositol-1,4,5-trisphosphate 5-phosphatase",,,,,,,
CGI_10012540,Q80W54,0,CAAX prenyl protease 1 homolog,,,,,,,
CGI_10012541,P31241,7E-09,Molluscan insulin-related peptide 5,,,,,,,
CGI_10012542,Q9NDE7,7E-11,Insulin,CGI_10012542,58.9838945328305,1.12576221114446,0.400802269779134,2.80877204553962,0.00497308456453747,0.0314549937882517
CGI_10012543,Q496A3,1E-18,.,,,,,,,
CGI_10012544,Q8C0T7,3E-77,Major facilitator superfamily domain-containing protein 9,,,,,,,
CGI_10012545,Q93212,3E-23,Suppressor of lurcher protein 1,,,,,,,
CGI_10012547,P18503,3E-08,Short-chain collagen C4,,,,,,,
CGI_10012548,Q9XWD6,2E-07,Cell death abnormality protein 1,,,,,,,
CGI_10012550,Q9Y2Q3,1E-51,Glutathione S-transferase kappa 1,CGI_10012550,80.5402869079329,-1.45102818097593,0.469681812433716,-3.08938550006277,0.00200571001198501,0.0159030665687774
CGI_10012552,Q98943,3E-10,Caspase-2,,,,,,,
CGI_10012553,P55210,4E-10,Caspase-7,,,,,,,
CGI_10012555,Q2F637,2E-94,14-3-3 protein zeta,,,,,,,
CGI_10012556,P68252,2E-94,14-3-3 protein gamma,,,,,,,
CGI_10012557,Q5U3A7,0,"Dynamin-like 120 kDa protein, mitochondrial",,,,,,,
CGI_10012558,Q6ZUK4,7E-25,Transmembrane protein 26,,,,,,,
CGI_10012559,Q06561,6E-10,Basement membrane proteoglycan,CGI_10012559,302.057372575085,-1.25366493799233,0.389634270281635,-3.21754279233745,0.00129293738373228,0.011544943677833
CGI_10012560,A3KPP4,2E-96,Solute carrier family 25 member 35,,,,,,,
CGI_10012561,Q96RW7,9E-36,Hemicentin-1,,,,,,,
CGI_10012562,Q5G268,5E-95,Neurotrypsin,,,,,,,
CGI_10012563,Q460N5,6E-12,Poly [ADP-ribose] polymerase 14,,,,,,,
CGI_10012564,Q25414,4E-84,5-hydroxytryptamine receptor,,,,,,,
CGI_10012565,Q9Y6F1,5E-145,Poly [ADP-ribose] polymerase 3,,,,,,,
CGI_10012566,P56695,7E-71,Wolframin,,,,,,,
CGI_10012567,Q61263,2E-143,Sterol O-acyltransferase 1,,,,,,,
CGI_10012568,Q00651,8E-15,Integrin alpha-4,,,,,,,
CGI_10012570,P49615,2E-178,Cyclin-dependent kinase 5,,,,,,,
CGI_10012572,O15084,0,Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A,,,,,,,
CGI_10012574,Q6QLW4,5E-65,Cytochrome c,,,,,,,
CGI_10012575,Q8NEG5,2E-115,E3 ubiquitin-protein ligase ZSWIM2,,,,,,,
CGI_10012576,Q9JMG6,8E-13,TCF3 fusion partner homolog,,,,,,,
CGI_10012577,Q6SP97,1E-73,Enkurin,,,,,,,
CGI_10012578,O42646,3E-11,Ubiquitin-conjugating enzyme E2 6,,,,,,,
CGI_10012579,Q95221,8E-41,Inositol hexakisphosphate kinase 2,CGI_10012579,93.3789095371994,1.78976675995513,0.520169237225576,3.44073934379741,0.000580127099698002,0.00625806398886821
CGI_10012581,Q2TBQ8,7E-10,6-phosphogluconolactonase,,,,,,,
CGI_10012582,P20911,1E-67,Cyclin-dependent kinase 7,,,,,,,
CGI_10012584,Q8CE94,3E-14,Monocarboxylate transporter 13,,,,,,,
CGI_10012585,G5E8K6,6E-12,Uncharacterized protein,,,,,,,
CGI_10012587,Q8CE94,2E-12,Monocarboxylate transporter 13,,,,,,,
CGI_10012588,Q8BGC3,5E-37,Monocarboxylate transporter 12,,,,,,,
CGI_10012589,Q9Y388,2E-60,"RNA-binding motif protein, X-linked 2",,,,,,,
CGI_10012590,Q86V85,1E-78,Integral membrane protein GPR180,,,,,,,
CGI_10012595,O88397,3E-35,Solute carrier organic anion transporter family member 1A5,,,,,,,
CGI_10012598,Q01177,7E-49,Plasminogen,,,,,,,
CGI_10012600,Q9LZG0,2E-104,Adenosine kinase 2,,,,,,,
CGI_10012601,Q96MB7,4E-08,Putative nuclease HARBI1,,,,,,,
CGI_10012605,Q8TDD1,0,ATP-dependent RNA helicase DDX54,CGI_10012605,194.747509421581,-1.42064054806677,0.384086580381215,-3.69875080419824,0.000216663190524203,0.00300477223011873
CGI_10012606,Q9P267,3E-21,Methyl-CpG-binding domain protein 5,,,,,,,
CGI_10012607,Q9UHG0,3E-13,Doublecortin domain-containing protein 2,,,,,,,
CGI_10012608,Q9UHG0,1E-06,Doublecortin domain-containing protein 2,,,,,,,
CGI_10012609,Q5DU00,1E-34,Doublecortin domain-containing protein 2,,,,,,,
CGI_10012610,P33198,0,"Isocitrate dehydrogenase [NADP], mitochondrial",,,,,,,
CGI_10012611,P11024,0,"NAD(P) transhydrogenase, mitochondrial",,,,,,,
CGI_10012613,Q3UCV8,3E-58,Protein FAM105B,CGI_10012613,961.333700241403,1.91653513638983,0.308591325570277,6.21059303221849,5.27850149527229E-10,5.41399244274452E-08
CGI_10012614,Q9DDA9,6E-76,Protein kinase C and casein kinase substrate in neurons protein 2,,,,,,,
CGI_10012615,Q9NRZ9,7E-141,Lymphoid-specific helicase,,,,,,,
CGI_10012616,Q24498,3E-79,Ryanodine receptor 44F,,,,,,,
CGI_10012618,Q63HQ0,2E-18,AP-1 complex-associated regulatory protein,CGI_10012618,304.064667462524,-0.925685024159813,0.348701980395979,-2.65465949779988,0.00793884988384422,0.0440042440560089
CGI_10012621,Q9VKA4,8E-56,Probable G-protein coupled receptor CG31760,,,,,,,
CGI_10012622,Q495M3,1E-13,Proton-coupled amino acid transporter 2,CGI_10012622,39.0448329221434,1.45597062626539,0.438568779954995,3.31982277994069,0.000900746087419315,0.00876595279717085
CGI_10012624,A4IF62,0,DNA-directed RNA polymerase III subunit RPC1,,,,,,,
CGI_10012625,Q15637,3E-111,Splicing factor 1,,,,,,,
CGI_10012626,Q1HRV8,9E-46,Elongation of very long chain fatty acids protein AAEL008004,CGI_10012626,348.792833245715,-1.32923039901959,0.392606858662676,-3.38565251648253,0.000710092376570946,0.00734604734769727
CGI_10012627,Q9GZR5,3E-63,Elongation of very long chain fatty acids protein 4,CGI_10012627,18.9296596670443,1.95084836473967,0.523904714867673,3.72367018157569,0.000196347400208338,0.00277315400294251
CGI_10012628,Q9I9E1,2E-29,Forkhead box protein H1,,,,,,,
CGI_10012629,Q8C0J2,2E-144,Autophagy-related protein 16-1,,,,,,,
CGI_10012630,Q2I6J1,8E-161,"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 2A",,,,,,,
CGI_10012631,Q8TC12,1E-54,Retinol dehydrogenase 11,,,,,,,
CGI_10012632,Q8TC12,7E-51,Retinol dehydrogenase 11,,,,,,,
CGI_10012633,P95957,7E-26,Uncharacterized aminotransferase SSO0104,,,,,,,
CGI_10012635,Q9X248,4E-36,3-oxoacyl-[acyl-carrier-protein] reductase FabG,,,,,,,
CGI_10012637,Q6IQ26,0,DENN domain-containing protein 5A,CGI_10012637,154.711144791653,1.41549735676072,0.341223209380009,4.14830327436586,3.34948496228056E-05,0.000681263219263427
CGI_10012639,Q5UR67,3E-06,.,,,,,,,
CGI_10012642,Q6DFJ6,1E-21,Serine/threonine-protein kinase TBK1,CGI_10012642,42.5119965450019,1.79637809890385,0.493554360652491,3.63967627908098,0.000272981008128153,0.00357147048833423
CGI_10012643,Q8QG64,5E-53,RING-box protein 1,,,,,,,
CGI_10012645,P43143,9E-53,Neuronal acetylcholine receptor subunit alpha-6,,,,,,,
CGI_10012647,Q5ZIR1,4E-144,Endophilin-B1,,,,,,,
CGI_10012648,P83298,8E-57,"Fibrinolytic enzyme, isozyme C",,,,,,,
CGI_10012649,Q9UPV0,1E-16,Centrosomal protein of 164 kDa,,,,,,,
CGI_10012650,Q9UPV0,4E-34,Centrosomal protein of 164 kDa,,,,,,,
CGI_10012652,Q4UMH6,1E-13,Putative ankyrin repeat protein RF_0381,CGI_10012652,155.169590371312,1.22389936216239,0.437082646643981,2.80015546615672,0.00510780002679549,0.0320784559639612
CGI_10012653,Q5ND28,1E-06,Scavenger receptor class F member 1,,,,,,,
CGI_10012656,O13356,2E-20,Chitin synthase 1,,,,,,,
CGI_10012657,Q8N8K9,7E-07,.,,,,,,,
CGI_10012659,O35474,6E-07,EGF-like repeat and discoidin I-like domain-containing protein 3,,,,,,,
CGI_10012663,Q5RAT5,3E-56,.,,,,,,,
CGI_10012664,Q16609,8E-17,Putative apolipoprotein(a)-like protein 2,,,,,,,
CGI_10012666,O88398,4E-91,Advillin,,,,,,,
CGI_10012667,Q6DFB8,0,Tetratricopeptide repeat protein 37,,,,,,,
CGI_10012668,O70244,4E-21,Cubilin,,,,,,,
CGI_10012671,P81178,0,"Aldehyde dehydrogenase, mitochondrial",,,,,,,
CGI_10012680,Q9WV92,4E-122,Band 4.1-like protein 3,,,,,,,
CGI_10012682,P48148,2E-87,Ras-like GTP-binding protein Rho1,,,,,,,
CGI_10012683,P01122,1E-80,Ras-like GTP-binding protein RHO,,,,,,,
CGI_10012684,P48148,2E-117,Ras-like GTP-binding protein Rho1,,,,,,,
CGI_10012685,Q3ZCC9,2E-154,Protein SEC13 homolog,,,,,,,
CGI_10012686,P23758,8E-49,Paired box pox-neuro protein,,,,,,,
CGI_10012687,Q7Z0T3,4E-33,Temptin,,,,,,,
CGI_10012688,Q8N8K9,4E-07,.,,,,,,,
CGI_10012692,Q7ZVK3,5E-93,NAD-dependent deacetylase sirtuin-2,,,,,,,
CGI_10012694,P58200,2E-27,Vesicle transport through interaction with t-SNAREs homolog 1B,,,,,,,
CGI_10012695,Q810J8,0,Zinc finger FYVE domain-containing protein 1,,,,,,,
CGI_10012696,Q92541,1E-94,RNA polymerase-associated protein RTF1 homolog,,,,,,,
CGI_10012697,Q7Z333,1E-45,Probable helicase senataxin,,,,,,,
CGI_10012698,A2AKX3,2E-20,Probable helicase senataxin,,,,,,,
CGI_10012712,Q8WWQ8,0,Stabilin-2,,,,,,,
CGI_10012714,Q9D9B4,2E-13,Leucine-rich repeat-containing protein C10orf11 homolog,,,,,,,
CGI_10012715,Q9N2W7,2E-44,Probable NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 12,CGI_10012715,310.012931776967,-0.851528624618562,0.255482688189302,-3.33301888536422,0.000859091107874133,0.00843958905367945
CGI_10012716,Q8VD46,4E-33,"Ankyrin repeat, SAM and basic leucine zipper domain-containing protein 1",,,,,,,
